[1.6466520350492964],[2.5999827168719873],[2.1981845928716206]
[1.5243392774897322],[2.631722790607981],[2.400067860304871]
[1.4213920246505654],[2.664321930207904],[2.6078402547568444]
[1.2794346179604688],[2.692425370307206],[2.910889328545479]
[1.258365171543386],[2.7235871697235376],[3.113658691701723]
[1.2635622652125582],[2.7362537358792682],[3.329647836881853]
[1.2450482409431598],[2.769950595793459],[3.3784070984866523]
[1.2570270502775214],[2.763214489715791],[3.5540585983200024]
[1.2946884228800317],[2.794813474398711],[3.642554241118217]
[1.328723092648409],[2.844028152103856],[3.835462814219641]
[1.3262495931077667],[2.910673808681464],[3.9138891872981265]
[1.4570909607607954],[2.9053514887145013],[4.133918588220557]
[1.3099060715886013],[2.900483717305232],[3.9738023728565675]
[1.173172859331845],[2.9022593614695253],[3.8059267613146637]
[1.0731142825944953],[2.941679089922697],[3.6773306370956442]
[1.151394280385764],[2.9076227499828704],[3.842622384172466]
[1.264505982039306],[2.8870191284458633],[4.008983914468577]
[1.4468919606608697],[2.832424354091746],[4.184490079709363]
[1.6756630959879042],[2.7403573881428467],[4.358757466297277]
[1.875603821077234],[2.6785171104771597],[4.513558188694789]
[2.10845232798596],[2.5266252868857384],[4.612032645363855]
[2.3039751108001236],[2.4797790330803107],[4.766269555091364]
[2.5513284541600125],[2.380424536207427],[4.921393008528476]
[2.7836120995553313],[2.2810814229451046],[5.058794899450475]
[3.003994950864684],[2.20995134654032],[5.2092763184394535]
[3.1885677004551023],[2.1784751607428605],[5.362712431690256]
[3.369709990471777],[2.1902299729629546],[5.5562491085500065]
[3.7375989068459754],[2.185018026234906],[5.921357226378411]
[3.923513994418565],[2.140425994703044],[6.063470941553207]
[4.1304151808874785],[2.163270062736714],[6.292695442062723]
[4.197569602701038],[2.16004601924894],[6.356173339725073]
[4.349517304127576],[2.2484876792805166],[6.596724521138003]
[4.53820705822182],[2.3417966851652454],[6.87867320247013]
[4.758207774489552],[2.378237957964721],[7.1355034392423935]
[4.9595796554128935],[2.420741139979929],[7.38022333991382]
[5.12863700445959],[2.5316246791194494],[7.660086813327236]
[5.267577928747833],[2.654473817476235],[7.92120839225127]
[5.4556985490569385],[2.76579059550881],[8.22050910606316]
[5.436430340059766],[2.913921421058758],[8.347875772875579]
[5.572234733370922],[3.07864283532878],[8.647252272756917]
[5.551712505975809],[3.192943433707165],[8.740754506285302]
[5.6879633906827936],[3.308553980419604],[8.993686671534059]
[5.651544888663602],[3.4051130097862483],[9.05359842686106]
[5.610542169034468],[3.542379625948661],[9.150083562903372]
[5.415910067411305],[3.6376333316142553],[9.049135422639484]
[5.324473055728976],[3.790053742158313],[9.110617913021771]
[5.302418694726586],[3.8156242335419006],[9.114952622635986]
[5.248625257825859],[3.9082580335643557],[9.152966236327913]
[5.193309793107496],[4.037768678524125],[9.226114600193528]
[5.104857554659655],[4.148311651539773],[9.246564286228262]
[4.75822450713267],[4.344489384047037],[9.090161397319307]
[4.615440531718735],[4.526906862156608],[9.125306547791139]
[4.3376214642444335],[4.653502130598394],[8.968904007892407]
[4.0587524535812864],[4.782506196188717],[8.813937392260277]
[3.801286327786326],[4.870133209026811],[8.63708782946894]
[3.5280572769194896],[4.9633399568070695],[8.449875367743074]
[3.391478334353437],[5.070299099382528],[8.41649156735936]
